Time,Open,High,Low,Close,Volume
"Jan 3, 2022",91.10,97.20,91.03,96.36,3041209
"Jan 4, 2022",97.00,103.58,97.00,101.73,6431582
"Jan 5, 2022",101.90,104.85,100.27,102.63,4707826
"Jan 6, 2022",102.15,104.00,99.61,100.56,4133564
"Jan 7, 2022",100.75,105.68,100.11,104.72,5037068
"Jan 10, 2022",105.75,108.30,105.01,105.86,2967234
"Jan 11, 2022",106.50,107.70,105.30,107.13,3341323
"Jan 12, 2022",108.00,110.20,106.01,107.03,5714117
"Jan 13, 2022",106.52,108.30,105.40,107.05,2934417
"Jan 14, 2022",108.00,109.40,102.51,103.41,4207065
"Jan 17, 2022",102.90,102.90,96.12,99.30,2123385
"Jan 18, 2022",99.50,104.60,97.55,98.95,4660471
"Jan 19, 2022",98.62,101.95,96.35,98.50,5557753
"Jan 20, 2022",98.66,105.50,96.50,104.22,4722694
"Jan 21, 2022",104.98,108.99,103.51,106.76,6301060
"Jan 24, 2022",106.00,107.88,104.52,106.15,2754034
"Jan 25, 2022",107.10,109.75,105.00,105.79,4460901
"Jan 26, 2022",105.00,109.00,103.51,107.22,2179224
"Jan 27, 2022",107.98,108.75,106.70,108.11,1630018
"Jan 28, 2022",107.99,109.60,107.00,109.09,2073540
"Jan 31, 2022",109.78,111.96,108.40,110.98,2600620
"Feb 1, 2022",111.75,113.95,110.11,111.01,2167659
"Feb 2, 2022",111.20,113.00,110.10,111.68,918477
"Feb 3, 2022",114.50,114.50,111.00,112.37,2069049
"Feb 4, 2022",111.99,112.65,110.56,110.94,715878
"Feb 7, 2022",110.99,111.55,108.00,108.29,874974
"Feb 8, 2022",107.51,108.74,106.51,108.23,731741
"Feb 9, 2022",108.89,109.52,108.01,108.53,531179
"Feb 10, 2022",108.60,108.99,106.00,106.42,521080
"Feb 11, 2022",106.82,106.82,103.51,104.27,760732
"Feb 14, 2022",104.00,104.32,100.27,101.20,1211066
"Feb 15, 2022",102.40,108.79,100.15,108.03,4793185
"Feb 16, 2022",108.99,110.00,106.00,106.38,1767308
"Feb 17, 2022",106.80,106.89,102.85,104.76,678182
"Feb 18, 2022",104.11,104.69,102.26,103.63,294079
"Feb 21, 2022",103.90,105.01,102.11,103.71,1493920
"Feb 22, 2022",102.00,102.00,96.50,99.35,2894209
"Feb 23, 2022",101.40,102.40,98.20,100.05,2221034
"Feb 24, 2022",94.50,96.49,92.55,92.64,2233083
"Feb 25, 2022",92.64,95.45,92.10,93.47,1717874
"Feb 28, 2022",93.40,96.40,91.00,95.94,867996
"Mar 1, 2022",100.99,103.13,98.15,102.79,5497864
"Mar 2, 2022",99.99,103.00,99.12,100.86,3702003
"Mar 3, 2022",100.90,102.00,98.10,98.94,1433192
"Mar 4, 2022",98.81,99.90,96.60,97.00,1430289
"Mar 7, 2022",95.00,95.00,89.73,89.81,2693550
"Mar 8, 2022",88.01,91.49,86.60,88.06,1733044
"Mar 9, 2022",88.05,89.50,86.50,88.41,1053702
"Mar 10, 2022",91.02,93.60,89.61,92.33,1807760
"Mar 11, 2022",92.25,92.80,89.00,89.65,1057750
"Mar 14, 2022",90.00,90.00,84.22,85.75,1610790
"Mar 15, 2022",86.00,87.50,85.20,87.16,738278
"Mar 16, 2022",87.85,89.19,87.49,88.06,561419
"Mar 17, 2022",88.96,89.00,86.50,86.92,481850
"Mar 18, 2022",84.11,84.49,82.25,82.54,800942
"Mar 21, 2022",82.89,83.85,80.60,82.05,705927
"Mar 22, 2022",82.20,84.59,81.62,84.36,1378890
"Mar 24, 2022",84.10,88.67,82.00,86.30,2056780
"Mar 25, 2022",86.00,87.50,85.12,86.93,602866
