Time,Open,High,Low,Close,Volume
"Jan 3, 2022",93.60,98.40,93.60,97.22,1952700
"Jan 4, 2022",97.77,103.68,97.22,102.07,3841700
"Jan 5, 2022",102.79,103.77,100.10,101.67,1637600
"Jan 6, 2022",101.67,101.67,94.16,94.77,1610300
"Jan 7, 2022",94.10,97.90,92.50,96.03,1353400
"Jan 10, 2022",96.19,98.29,95.50,97.69,1139100
"Jan 11, 2022",99.00,105.01,99.00,104.51,4859700
"Jan 12, 2022",107.48,112.30,106.00,107.35,7330600
"Jan 13, 2022",106.80,109.41,104.40,106.53,5595300
"Jan 14, 2022",107.99,109.00,103.55,104.08,2014800
"Jan 17, 2022",104.00,104.00,97.67,98.89,1455900
"Jan 18, 2022",99.10,106.30,99.01,106.30,2497900
"Jan 19, 2022",107.89,108.75,98.33,98.33,3824600
"Jan 20, 2022",97.00,103.00,93.02,101.30,3258400
"Jan 21, 2022",102.49,103.70,99.99,100.88,2609500
"Jan 24, 2022",100.11,100.25,96.40,98.04,1768300
"Jan 25, 2022",99.50,101.60,97.31,97.98,1620900
"Jan 26, 2022",98.70,101.10,96.00,99.48,1771800
"Jan 27, 2022",101.00,101.50,99.00,100.19,1520100
"Jan 28, 2022",100.00,105.85,99.20,104.46,4009600
"Jan 31, 2022",104.50,107.25,104.50,105.35,2757100
"Feb 1, 2022",106.48,108.12,104.06,105.62,2410800
"Feb 2, 2022",105.82,107.00,104.41,106.18,1225800
"Feb 3, 2022",108.74,108.74,105.00,105.58,2278200
"Feb 4, 2022",104.89,105.90,103.00,103.98,948000
"Feb 7, 2022",104.00,105.35,100.85,101.17,976168
"Feb 8, 2022",101.17,103.99,100.00,103.26,1453520
"Feb 9, 2022",104.50,106.79,104.30,105.61,1508464
"Feb 10, 2022",107.00,107.50,103.36,103.89,1303393
"Feb 11, 2022",103.21,105.49,102.51,103.38,804401
"Feb 14, 2022",102.78,103.99,98.30,102.60,1891979
"Feb 15, 2022",104.00,106.30,102.26,104.64,2161293
"Feb 16, 2022",105.20,106.00,103.15,103.77,591274
"Feb 17, 2022",104.30,104.32,101.20,102.56,702811
"Feb 18, 2022",102.20,103.10,101.50,101.89,363972
"Feb 21, 2022",101.95,101.95,100.30,100.83,467014
"Feb 22, 2022",99.89,99.89,93.67,95.67,1410114
"Feb 23, 2022",98.73,100.00,96.46,98.82,1392781
"Feb 24, 2022",95.70,95.70,91.41,91.63,2163953
"Feb 25, 2022",93.87,94.80,91.60,93.36,939436
"Feb 28, 2022",93.03,96.10,90.30,95.46,835334
"Mar 1, 2022",100.99,102.61,98.35,102.61,2164902
"Mar 2, 2022",101.01,105.89,101.00,103.45,5152806
"Mar 3, 2022",102.88,104.33,99.76,100.43,2192557
"Mar 4, 2022",100.95,101.43,99.03,99.50,726210
"Mar 7, 2022",97.49,97.49,92.04,92.28,1435230
"Mar 8, 2022",92.00,94.75,89.11,90.64,1183132
"Mar 9, 2022",90.50,93.15,89.01,90.69,798204
"Mar 10, 2022",94.50,94.50,92.10,93.73,1039761
"Mar 11, 2022",93.25,93.73,89.25,90.12,658022
"Mar 14, 2022",90.20,90.77,84.80,85.65,771454
"Mar 15, 2022",85.61,88.40,84.74,88.06,786191
"Mar 16, 2022",88.40,90.00,87.51,88.38,742197
"Mar 17, 2022",89.00,89.40,86.25,86.41,509119
"Mar 18, 2022",83.02,83.03,80.05,80.32,924757
"Mar 21, 2022",80.50,81.75,79.51,80.60,572014
"Mar 22, 2022",80.60,81.70,80.11,80.44,487086
"Mar 24, 2022",80.31,85.00,78.26,83.81,1344972
"Mar 25, 2022",83.02,83.70,81.52,82.67,699832
"Mar 28, 2022",81.75,84.00,80.16,83.52,553901
"Mar 29, 2022",85.00,87.19,84.20,84.52,981608
"Mar 30, 2022",82.83,84.55,80.26,83.10,716112
"Mar 31, 2022",83.35,86.25,83.00,85.82,1014613
"Apr 1, 2022",85.50,89.00,84.00,86.62,1430137
"Apr 4, 2022",83.20,85.35,80.81,81.93,1307626
"Apr 5, 2022",82.00,83.65,81.33,81.94,345028
"Apr 6, 2022",82.80,83.99,81.64,83.08,383794
"Apr 7, 2022",84.25,84.80,82.90,83.65,604040
"Apr 8, 2022",84.00,88.16,83.65,86.71,933563
"Apr 11, 2022",91.00,93.21,90.10,93.21,382769
"Apr 12, 2022",100.20,100.20,100.20,100.20,234000
"Apr 13, 2022",107.71,107.71,107.71,107.71,208500
"Apr 14, 2022",109.99,110.97,103.15,106.20,4762000
"Apr 15, 2022",106.90,107.50,102.61,103.56,987500
"Apr 18, 2022",103.50,109.00,101.50,107.12,3164500
"Apr 19, 2022",106.70,107.98,100.50,102.43,1600000
"Apr 20, 2022",103.99,104.00,100.02,101.91,983500
"Apr 21, 2022",101.50,102.89,98.25,99.76,418000
"Apr 22, 2022",100.55,104.40,99.55,102.60,653000
"Apr 25, 2022",105.00,106.85,103.70,104.19,1698000
"Apr 26, 2022",103.51,104.48,100.50,100.90,522500
"Apr 27, 2022",100.90,101.70,99.01,99.51,379000
"Apr 28, 2022",98.20,100.00,95.00,98.52,1016500
"May 6, 2022",99.00,99.00,95.90,96.12,512000
"May 9, 2022",96.20,96.21,88.92,88.92,1177000
"May 10, 2022",89.01,91.30,87.63,90.50,1467000
"May 11, 2022",90.58,91.72,83.72,84.14,1859500
"May 12, 2022",84.80,86.90,82.35,84.87,1550657
"May 13, 2022",84.35,86.50,84.00,84.81,545243
"May 16, 2022",84.81,87.45,79.50,83.72,2265801
"May 17, 2022",83.99,85.40,83.49,84.11,372092
"May 18, 2022",83.60,90.41,82.35,90.41,2025022
"May 19, 2022",91.45,92.50,88.40,88.96,2150239
"May 20, 2022",89.49,89.50,87.17,87.77,591064
"May 23, 2022",85.51,86.49,83.05,85.57,518095
"May 24, 2022",84.50,87.00,84.00,84.46,915403
"May 25, 2022",83.25,88.58,83.31,87.08,859997
"May 26, 2022",87.40,93.61,86.10,93.61,2928168
"May 27, 2022",95.90,98.80,91.75,94.06,2551507
"May 30, 2022",94.20,95.50,93.40,93.69,1086257
"May 31, 2022",93.69,94.51,92.80,93.49,495159
"Jun 1, 2022",93.61,96.50,92.11,92.92,886780
"Jun 2, 2022",92.88,92.95,90.14,91.26,543332
"Jun 3, 2022",91.69,91.69,88.50,88.79,562061
"Jun 6, 2022",87.00,91.48,87.00,89.44,508002
"Jun 7, 2022",89.01,91.00,88.10,88.86,331324
"Jun 8, 2022",89.10,90.19,88.10,88.66,385800
"Jun 9, 2022",89.00,92.50,88.61,91.06,998101
"Jun 10, 2022",91.00,93.52,90.65,92.67,470958
"Jun 13, 2022",92.98,92.98,90.09,90.32,611326
"Jun 14, 2022",90.01,91.50,89.10,90.65,245598
"Jun 15, 2022",90.75,92.00,90.11,90.41,308642
"Jun 16, 2022",91.24,91.85,89.10,90.35,333958
"Jun 17, 2022",89.70,93.65,89.70,92.46,929271
"Jun 20, 2022",92.10,92.89,90.60,90.77,606943
"Jun 21, 2022",91.98,97.57,91.44,97.57,1575185
"Jun 22, 2022",98.50,101.45,97.80,99.03,2383471
"Jun 23, 2022",99.30,104.87,98.51,101.89,2677785
"Jun 24, 2022",101.89,102.78,94.25,97.91,2178839
"Jun 27, 2022",98.50,104.95,98.50,104.03,2295233
"Jun 28, 2022",106.00,106.00,102.10,102.85,1427896
"Jun 29, 2022",102.50,103.40,101.25,101.64,1967267
"Jun 30, 2022",102.20,102.45,98.65,99.74,1175484
"Jul 1, 2022",99.62,101.00,98.51,100.01,582730
"Jul 4, 2022",99.90,99.90,96.76,97.93,429217
"Jul 5, 2022",98.70,99.49,96.60,97.23,279697
"Jul 6, 2022",97.50,98.49,96.80,97.24,261869
"Jul 7, 2022",96.99,97.35,95.52,96.27,288216
"Jul 13, 2022",94.80,103.49,94.80,102.24,1798393
"Jul 14, 2022",104.48,104.66,101.70,102.72,3036106
"Jul 15, 2022",102.99,104.25,101.60,101.84,1387369
"Jul 18, 2022",98.00,101.84,95.20,95.75,1255994
"Jul 19, 2022",95.60,96.48,90.00,91.47,1034306
"Jul 20, 2022",89.61,91.40,88.10,90.38,1269569
"Jul 21, 2022",90.41,90.97,86.10,87.28,904577
"Jul 22, 2022",87.30,93.00,86.00,91.71,1411942
"Jul 25, 2022",91.30,91.30,88.50,90.66,531637
"Jul 26, 2022",88.99,92.20,88.99,90.84,796871
"Jul 27, 2022",92.36,92.36,90.25,90.99,599568
"Jul 28, 2022",91.31,97.81,91.31,94.93,4212701
"Jul 29, 2022",94.49,99.80,93.14,98.78,3954743
"Sep 1, 2022",103.00,104.45,102.25,102.70,1942981
"Sep 2, 2022",103.00,103.20,100.80,101.19,699576
"Sep 5, 2022",101.19,101.50,97.82,98.03,794081
"Sep 6, 2022",98.90,99.49,97.49,99.14,701249
"Sep 7, 2022",99.25,100.45,97.96,98.15,694340
"Sep 8, 2022",99.01,99.70,98.00,99.19,682946
"Sep 9, 2022",99.10,102.30,99.10,100.99,2235136
"Sep 12, 2022",100.61,102.60,98.80,99.37,1387838
"Sep 13, 2022",99.95,100.84,99.20,99.43,453460
"Sep 14, 2022",98.99,101.99,98.15,101.37,1044987
"Sep 15, 2022",102.20,105.38,101.50,102.57,4359129
"Sep 16, 2022",102.05,104.75,101.00,102.32,3057271
"Sep 19, 2022",102.98,103.80,100.15,100.97,1314673
"Sep 20, 2022",101.30,101.50,98.60,98.98,1070435
"Sep 21, 2022",99.05,99.88,96.80,97.80,598503
"Sep 22, 2022",97.60,99.19,95.11,98.86,1102555
"Sep 23, 2022",99.59,101.25,96.50,97.34,1663002
"Sep 26, 2022",98.10,101.85,97.50,101.23,1482089
"Sep 27, 2022",101.23,101.25,98.40,98.99,2072039
"Sep 28, 2022",99.30,99.95,98.05,98.27,809952
"Sep 29, 2022",98.45,98.95,97.00,97.59,522936
"Sep 30, 2022",97.50,98.71,96.12,96.60,883702
"Oct 3, 2022",96.70,100.77,96.70,99.34,2145168
"Oct 4, 2022",100.10,101.11,98.70,99.14,1070677
"Oct 5, 2022",99.60,102.50,99.60,102.18,2262472
"Oct 6, 2022",103.10,103.88,101.30,101.68,2003791
"Oct 7, 2022",101.00,102.70,100.10,100.46,919520
"Oct 10, 2022",100.55,102.00,100.55,101.33,793628
"Oct 11, 2022",101.50,101.80,99.02,99.60,654768
"Oct 12, 2022",100.00,107.07,99.00,107.07,2341901
"Oct 13, 2022",112.42,115.10,107.11,115.06,8068047
"Oct 14, 2022",115.89,120.39,111.85,118.05,6898673
"Oct 17, 2022",117.40,120.75,116.48,118.12,4317939
"Oct 18, 2022",119.80,122.70,119.15,121.00,5002332
"Oct 19, 2022",122.55,122.97,119.90,120.46,2160138
"Oct 20, 2022",121.00,122.15,117.02,120.52,2596969
"Oct 21, 2022",121.80,122.20,117.12,118.99,2026396
"Oct 24, 2022",120.31,122.19,119.51,120.36,3089376
"Oct 25, 2022",120.19,120.19,111.34,111.48,2888150
"Oct 26, 2022",109.01,110.39,103.12,103.12,3091836
"Oct 27, 2022",104.00,106.75,100.25,105.70,3657972
"Oct 28, 2022",104.95,105.30,100.01,101.04,1437640
"Oct 31, 2022",99.90,102.30,99.90,101.86,743725
"Nov 1, 2022",101.98,109.49,101.98,109.49,2510957
"Nov 2, 2022",110.99,111.98,106.20,107.05,3513754
"Nov 3, 2022",107.74,114.33,106.50,112.96,4384615
"Nov 4, 2022",111.00,112.58,109.51,110.26,2103827
"Nov 7, 2022",113.46,118.35,113.02,115.34,6621251
"Nov 8, 2022",115.49,115.86,113.05,113.51,2542673
"Nov 10, 2022",113.97,118.90,113.97,117.92,5349557
"Nov 11, 2022",119.45,120.80,117.40,117.92,3168906
"Nov 14, 2022",119.45,119.75,117.14,118.16,4170108
"Nov 15, 2022",119.00,119.00,114.01,114.41,2675510
"Nov 16, 2022",114.50,116.64,113.50,115.36,1924016
"Nov 17, 2022",115.30,118.55,114.65,115.28,3083485
"Nov 18, 2022",115.00,115.40,112.13,112.59,1312065
"Nov 21, 2022",113.00,114.30,111.20,113.25,1572002
"Nov 22, 2022",114.00,115.79,113.81,114.15,1694987
"Nov 23, 2022",114.50,114.98,113.00,113.49,952031
"Nov 24, 2022",113.49,114.75,113.00,113.51,1175262
"Nov 25, 2022",114.50,115.50,112.60,112.97,990403
"Nov 28, 2022",110.00,110.73,105.12,107.05,1668183
"Nov 29, 2022",107.00,109.77,106.50,109.10,859872
"Nov 30, 2022",109.60,109.60,107.62,108.01,695832
"Dec 1, 2022",108.40,109.25,107.77,108.03,517049
"Dec 2, 2022",108.03,108.33,102.70,106.05,1193816
"Dec 5, 2022",106.20,106.75,103.05,104.21,740846
"Dec 6, 2022",105.00,107.25,103.25,106.67,621490
"Dec 7, 2022",107.39,108.50,106.66,107.11,1263952
"Dec 8, 2022",107.77,107.77,104.85,105.05,499340
"Dec 9, 2022",105.06,106.30,104.75,105.66,337348
"Dec 12, 2022",106.99,106.99,104.51,105.04,360608
"Dec 13, 2022",105.99,105.99,104.45,104.58,299824
"Dec 14, 2022",104.02,105.44,104.00,104.20,392025
"Dec 15, 2022",104.40,104.50,100.30,100.99,625416
"Dec 16, 2022",101.00,101.60,99.05,100.00,670870
"Dec 19, 2022",97.84,99.88,97.00,97.22,487347
"Dec 20, 2022",97.22,97.74,89.93,89.93,1744455
"Dec 21, 2022",86.05,89.84,83.19,83.20,1872843
"Dec 22, 2022",83.50,86.98,80.60,85.04,1598363
"Dec 23, 2022",84.50,85.00,81.05,82.91,724227
"Dec 26, 2022",82.21,86.00,82.21,85.62,672840
"Dec 27, 2022",86.45,90.50,85.22,88.38,2440429
"Dec 28, 2022",89.45,89.50,85.00,86.02,608779
"Dec 29, 2022",86.88,87.17,85.13,86.31,389042
"Dec 30, 2022",86.10,87.50,85.07,85.84,563433
"Jan 1, 2021",200.99,204.25,194.99,196.18,2439500
"Jan 4, 2021",197.00,198.00,181.47,184.57,2417000
"Jan 5, 2021",181.00,187.39,180.02,182.43,2701000
"Jan 6, 2021",183.20,185.90,178.20,179.52,1604500
"Jan 7, 2021",180.02,184.98,175.65,181.59,2520000
"Jan 8, 2021",185.00,189.99,182.99,187.03,2534500
"Jan 11, 2021",188.98,188.98,180.80,182.54,1538000
"Jan 12, 2021",182.55,195.98,181.26,190.48,2671500
"Jan 13, 2021",197.00,203.50,190.48,196.74,3577000
"Jan 14, 2021",197.06,201.85,187.00,189.60,2072000
"Jan 15, 2021",189.01,189.01,180.56,182.06,1500000
"Jan 18, 2021",182.10,191.00,176.22,178.21,3294000
"Jan 19, 2021",180.00,185.50,179.00,182.32,3826000
"Jan 20, 2021",182.99,189.89,175.98,185.33,5205500
"Jan 21, 2021",187.50,189.50,182.50,188.05,6276000
"Jan 22, 2021",187.50,192.75,184.90,191.93,6291500
"Jan 25, 2021",191.93,205.91,190.62,203.86,6468500
"Jan 26, 2021",207.15,219.14,203.00,219.14,8485500
"Jan 27, 2021",221.50,235.57,219.26,233.16,6248000
"Jan 28, 2021",236.00,244.30,225.10,239.25,7237500
