Time,Open,High,Low,Close,Volume
"Jan 3, 2022",8.68,8.71,8.50,8.59,568500
"Jan 4, 2022",8.56,8.80,8.53,8.72,613000
"Jan 5, 2022",8.79,8.80,8.70,8.75,511000
"Jan 6, 2022",8.85,8.94,8.57,8.62,1733500
"Jan 7, 2022",8.69,8.70,8.55,8.64,327000
"Jan 10, 2022",8.57,8.76,8.57,8.74,740000
"Jan 11, 2022",8.76,9.09,8.65,8.86,5583500
"Jan 12, 2022",8.88,9.35,8.88,9.21,6385000
"Jan 13, 2022",9.25,9.50,9.20,9.31,2909500
"Jan 14, 2022",9.32,9.47,9.25,9.30,1467500
"Jan 17, 2022",9.25,9.25,9.00,9.10,536000
"Jan 18, 2022",9.23,9.23,9.00,9.01,1035500
"Jan 19, 2022",9.18,9.18,8.76,8.80,785000
"Jan 20, 2022",8.80,8.80,8.60,8.66,1158000
"Jan 21, 2022",8.70,8.70,8.59,8.62,810000
"Jan 24, 2022",8.77,8.77,8.55,8.60,402500
"Jan 25, 2022",8.62,8.73,8.55,8.60,304000
"Jan 26, 2022",8.57,8.66,8.50,8.57,218500
"Jan 27, 2022",8.73,8.73,8.51,8.55,427500
"Jan 28, 2022",8.56,8.78,8.54,8.61,533000
"Jan 31, 2022",8.64,8.80,8.63,8.76,473500
"Feb 1, 2022",8.82,8.86,8.75,8.80,531000
"Feb 2, 2022",8.84,9.00,8.84,8.94,1564000
"Feb 3, 2022",8.98,9.08,8.81,8.84,860000
"Feb 4, 2022",8.94,8.94,8.84,8.88,311500
"Feb 7, 2022",8.80,9.05,8.77,8.80,1505000
"Feb 8, 2022",8.80,8.89,8.67,8.73,910500
"Feb 9, 2022",8.85,9.25,8.80,9.13,2535000
"Feb 10, 2022",9.17,9.25,8.40,8.44,6007500
"Feb 11, 2022",8.52,8.55,8.43,8.46,1222500
"Feb 14, 2022",8.50,8.50,8.30,8.31,892000
"Feb 15, 2022",8.30,8.42,8.20,8.40,913000
"Feb 16, 2022",8.40,8.50,8.35,8.37,490000
"Feb 17, 2022",8.32,8.50,8.20,8.27,546500
"Feb 18, 2022",8.27,8.32,8.21,8.25,499500
"Feb 21, 2022",8.25,8.31,8.16,8.20,1250500
"Feb 22, 2022",8.25,8.29,7.70,7.97,3972000
"Feb 23, 2022",8.03,8.14,7.72,8.01,1502000
"Feb 24, 2022",7.85,7.99,7.60,7.90,2238000
"Feb 25, 2022",7.81,7.98,7.71,7.86,780000
"Feb 28, 2022",7.85,7.93,7.70,7.90,1640000
"Mar 1, 2022",7.94,8.17,7.91,8.01,2184500
"Mar 2, 2022",8.00,8.14,7.83,7.99,6157500
"Mar 3, 2022",8.01,8.26,7.99,8.06,1191000
"Mar 4, 2022",8.06,8.12,7.90,7.95,600500
"Mar 7, 2022",7.85,7.90,7.60,7.66,617500
"Mar 8, 2022",7.66,7.75,7.55,7.57,556500
"Mar 9, 2022",7.74,7.74,7.63,7.70,327000
"Mar 10, 2022",7.70,7.85,7.70,7.74,532500
"Mar 11, 2022",7.74,7.74,7.48,7.53,1088000
"Mar 14, 2022",7.53,7.60,7.16,7.40,880500
"Mar 15, 2022",7.40,7.60,7.33,7.57,889000
"Mar 16, 2022",7.60,7.80,7.52,7.55,374500
"Mar 17, 2022",7.60,7.64,7.43,7.46,154000
"Mar 18, 2022",7.31,7.59,7.25,7.37,556500
"Mar 21, 2022",7.40,7.50,7.30,7.38,166000
"Mar 22, 2022",7.33,7.50,7.18,7.39,887000
"Mar 24, 2022",7.40,7.63,7.32,7.53,466500
"Mar 25, 2022",7.45,7.70,7.45,7.53,276500
"Mar 28, 2022",7.41,7.75,7.35,7.63,449500
"Mar 29, 2022",7.63,7.86,7.56,7.59,1316500
"Mar 30, 2022",7.56,7.85,7.50,7.66,1343500
"Mar 31, 2022",7.70,7.85,7.51,7.80,295000
"Apr 1, 2022",7.70,7.77,7.54,7.66,1511500
"Apr 4, 2022",7.33,7.50,7.33,7.38,428500
"Apr 5, 2022",7.49,7.65,7.40,7.48,378500
"Apr 6, 2022",7.60,7.60,7.45,7.47,73500
"Apr 7, 2022",7.55,7.56,7.42,7.48,83500
"Apr 8, 2022",7.56,7.68,7.40,7.65,462000
"Apr 11, 2022",7.80,8.25,7.80,8.04,4844500
"Apr 12, 2022",8.07,8.10,7.86,8.06,808500
"Apr 13, 2022",8.07,8.20,7.93,7.95,1021500
"Apr 14, 2022",7.85,7.90,7.69,7.77,1098000
"Apr 15, 2022",7.90,8.09,7.80,8.02,1995500
"Apr 18, 2022",8.02,8.08,7.85,7.95,329000
"Apr 19, 2022",8.00,8.00,7.80,7.93,355500
"Apr 20, 2022",7.90,7.90,7.67,7.70,571500
"Apr 21, 2022",7.70,7.81,7.65,7.79,457500
"Apr 22, 2022",7.71,7.78,7.67,7.70,375500
"Apr 25, 2022",7.70,7.84,7.35,7.37,3930500
"Apr 26, 2022",7.45,7.50,7.00,7.12,10547500
"Apr 27, 2022",7.19,7.34,7.19,7.23,907500
"Apr 28, 2022",7.17,7.28,7.00,7.15,2019000
"May 6, 2022",7.16,7.30,7.02,7.09,338500
"May 9, 2022",7.05,7.10,6.78,7.06,1562500
"May 10, 2022",7.00,7.18,6.88,7.02,857500
"May 11, 2022",7.00,7.09,6.65,6.98,3423000
"May 12, 2022",6.95,7.07,6.69,6.99,2710500
"May 13, 2022",6.80,7.03,6.80,6.95,606000
"May 16, 2022",6.86,7.00,6.70,6.96,1144000
"May 17, 2022",6.91,6.99,6.85,6.97,281000
"May 18, 2022",6.95,7.33,6.90,7.25,9925000
"May 19, 2022",7.19,7.29,7.11,7.15,415000
"May 20, 2022",7.08,7.35,7.08,7.29,1770500
"May 23, 2022",7.11,7.31,7.03,7.27,631500
"May 24, 2022",7.20,7.40,7.20,7.34,2169000
"May 25, 2022",7.25,7.52,7.11,7.48,2232000
"May 26, 2022",7.51,8.22,7.41,8.17,14110000
"May 27, 2022",8.16,8.29,7.61,7.72,3900000
"May 30, 2022",7.72,7.85,7.61,7.64,555500
"May 31, 2022",7.64,7.90,7.61,7.71,273500
"Jun 1, 2022",7.71,7.80,7.60,7.61,349500
"Jun 2, 2022",7.61,7.66,7.55,7.55,188500
"Jun 3, 2022",7.51,7.61,7.30,7.40,452500
"Jun 6, 2022",7.40,7.42,7.31,7.33,414500
"Jun 7, 2022",7.31,7.41,7.15,7.19,263500
"Jun 8, 2022",7.20,7.29,7.20,7.28,68500
"Jun 9, 2022",7.25,7.38,7.20,7.21,1871500
"Jun 10, 2022",7.30,7.30,7.19,7.28,137000
"Jun 13, 2022",7.25,7.31,7.05,7.10,992000
"Jun 14, 2022",7.10,7.26,7.00,7.25,329000
"Jun 15, 2022",7.28,7.30,7.21,7.28,297500
"Jun 16, 2022",7.28,7.34,7.10,7.21,3250500
"Jun 17, 2022",7.25,7.44,7.25,7.34,249000
"Jun 20, 2022",7.38,7.38,7.20,7.23,174500
"Jun 21, 2022",7.28,7.40,7.20,7.35,2319500
"Jun 22, 2022",7.40,7.43,7.23,7.26,182500
"Jun 23, 2022",7.25,7.50,7.20,7.22,1575000
"Jun 24, 2022",7.30,7.32,6.96,7.01,1274500
"Jun 27, 2022",7.10,7.23,7.10,7.11,589000
"Jun 28, 2022",7.12,7.19,7.00,7.01,688500
"Jun 29, 2022",7.01,7.19,7.00,7.04,390500
"Jun 30, 2022",7.08,7.09,6.90,6.96,482500
"Jul 1, 2022",7.09,7.15,6.96,6.99,424000
"Jul 4, 2022",7.00,7.07,6.95,6.97,265000
"Jul 5, 2022",6.95,7.06,6.95,6.99,29500
"Jul 6, 2022",7.01,7.08,7.00,7.04,203000
"Jul 7, 2022",7.10,7.10,6.99,7.07,219000
"Jul 13, 2022",7.00,7.09,7.00,7.08,209500
"Jul 14, 2022",7.12,7.23,7.12,7.17,398000
"Jul 15, 2022",7.19,7.23,7.15,7.15,354000
"Jul 18, 2022",7.06,7.22,7.02,7.13,1338500
"Jul 19, 2022",7.13,7.13,6.87,6.96,854500
"Jul 20, 2022",6.90,7.00,6.85,6.98,354000
"Jul 21, 2022",6.90,6.98,6.71,6.86,2190500
"Jul 22, 2022",6.62,6.90,6.60,6.83,1260000
"Jul 25, 2022",6.81,6.87,6.73,6.85,205000
"Jul 26, 2022",6.67,6.80,6.67,6.80,689000
"Jul 27, 2022",6.90,6.90,6.65,6.78,587000
"Jul 28, 2022",6.89,6.90,6.74,6.88,875500
"Jul 29, 2022",6.88,6.90,6.79,6.89,126000
