Time,Open,High,Low,Close,Volume
"Jan 3, 2022",754.00,781.00,754.00,776.54,66997
"Jan 4, 2022",778.00,798.00,776.54,796.41,133932
"Jan 5, 2022",798.00,798.00,785.00,788.97,12118
"Jan 6, 2022",780.00,797.00,772.90,786.71,41296
"Jan 7, 2022",787.00,815.00,785.00,806.55,143992
"Jan 10, 2022",804.50,816.00,800.00,809.78,72278
"Jan 11, 2022",809.50,809.50,780.05,785.77,139655
"Jan 12, 2022",787.00,793.00,775.18,783.28,107168
"Jan 13, 2022",784.00,786.00,776.00,777.13,47618
"Jan 14, 2022",786.99,784.00,775.00,779.97,54115
"Jan 17, 2022",779.90,783.00,770.00,780.05,120017
"Jan 18, 2022",778.50,783.99,772.00,775.13,171329
"Jan 19, 2022",775.00,780.00,769.00,774.76,436285
"Jan 20, 2022",770.00,774.50,759.97,770.27,204793
"Jan 21, 2022",770.05,785.00,770.05,779.60,42994
"Jan 24, 2022",780.00,795.00,765.01,770.86,58150
"Jan 25, 2022",775.75,775.75,746.50,750.26,720379
"Jan 26, 2022",754.99,754.99,739.39,744.00,172545
"Jan 27, 2022",749.30,749.30,742.50,743.95,52698
"Jan 28, 2022",745.00,745.00,735.00,735.84,49697
"Jan 31, 2022",739.00,743.00,733.00,737.14,45201
"Feb 1, 2022",735.00,742.98,732.43,734.05,51391
"Feb 2, 2022",739.99,739.99,732.00,734.97,177131
"Feb 3, 2022",736.88,745.00,736.00,738.08,65818
"Feb 4, 2022",744.98,744.98,720.00,727.13,169782
"Feb 7, 2022",733.00,733.00,727.00,729.50,13214
"Feb 8, 2022",734.00,734.00,720.00,722.98,23063
"Feb 9, 2022",724.99,724.99,715.00,716.28,200973
"Feb 10, 2022",717.98,717.98,703.50,705.09,275290
"Feb 11, 2022",708.00,725.00,700.00,710.50,625034
"Feb 14, 2022",718.99,718.99,685.00,693.55,83127
"Feb 15, 2022",693.56,698.00,685.05,689.95,103705
"Feb 16, 2022",695.00,695.00,685.00,688.25,78774
"Feb 17, 2022",681.00,689.00,681.00,685.93,250797
"Feb 18, 2022",686.00,695.00,686.00,693.19,84855
"Feb 21, 2022",692.00,694.50,688.00,689.85,8831
"Feb 22, 2022",687.01,687.01,665.99,676.03,160008
"Feb 23, 2022",676.00,683.80,676.00,679.84,74231
"Feb 24, 2022",655.01,657.25,637.00,640.49,289439
"Feb 25, 2022",630.01,665.00,629.97,638.88,83955
"Feb 28, 2022",638.00,646.00,611.02,645.98,69747
"Mar 1, 2022",670.00,670.00,644.44,652.31,280679
"Mar 2, 2022",651.00,651.00,630.00,634.31,227005
"Mar 3, 2022",635.00,635.00,623.23,624.77,33893
"Mar 4, 2022",624.77,643.99,624.77,639.87,137098
"Mar 7, 2022",632.00,632.00,608.08,610.84,128524
"Mar 8, 2022",606.00,639.00,600.52,609.42,276569
"Mar 9, 2022",625.00,636.00,605.00,632.94,84376
"Mar 10, 2022",650.00,680.41,640.10,674.94,459817
"Mar 11, 2022",725.50,725.56,705.56,713.03,1403147
"Mar 14, 2022",714.00,733.33,702.00,713.00,359869
"Mar 15, 2022",717.00,725.18,715.10,723.28,140232
"Mar 16, 2022",725.00,765.00,725.00,761.16,394273
"Mar 17, 2022",761.26,779.45,761.26,763.98,133561
"Mar 18, 2022",760.00,760.00,720.01,726.43,619879
"Mar 21, 2022",729.89,737.00,721.50,724.75,128749
"Mar 22, 2022",725.05,730.00,715.00,718.06,163929
"Mar 24, 2022",715.00,720.00,695.16,714.37,352542
"Mar 25, 2022",717.12,717.12,704.00,706.01,224062
"Mar 28, 2022",706.00,708.00,697.00,704.27,281802
"Mar 29, 2022",709.00,718.18,707.00,713.85,290249
"Mar 30, 2022",714.01,720.99,705.05,717.72,296311
"Mar 31, 2022",380.00,380.00,356.36,378.87,575240
